Family,TargetReferenceSpeed,LoadIndex,EpisodeCount,PositiveEpisodeCount,PositiveEpisodeFraction,EligibleStepCount,PositiveStepCount,PositiveEligibleFraction,PositiveOnsetCount
circle,0.5,1,23,7,0.304347826086957,4066,142,0.0349237579931136,7
circle,0.5,2,23,5,0.217391304347826,4070,81,0.0199017199017199,5
circle,0.5,3,22,5,0.227272727272727,3875,94,0.024258064516129,5
circle,1,1,22,3,0.136363636363636,3751,60,0.0159957344708078,3
circle,1,2,23,5,0.217391304347826,4071,113,0.0277573077867846,7
circle,1,3,23,4,0.173913043478261,3923,72,0.0183533010451185,4
circle,2,1,21,5,0.238095238095238,3648,88,0.0241228070175439,5
circle,2,2,23,7,0.304347826086957,4047,148,0.0365702989869039,13
circle,2,3,23,13,0.565217391304348,3938,258,0.0655154900964957,41
circle,4,1,23,3,0.130434782608696,3947,78,0.0197618444388143,3
circle,4,2,22,6,0.272727272727273,3709,113,0.0304664330008088,8
circle,4,3,23,7,0.304347826086957,4052,128,0.0315893385982231,10
circle,6,1,23,6,0.260869565217391,3806,142,0.0373095112979506,7
circle,6,2,22,4,0.181818181818182,3894,53,0.0136106831022085,5
circle,6,3,22,6,0.272727272727273,3839,93,0.0242250586090128,8
circle,8,1,22,4,0.181818181818182,3712,97,0.0261314655172414,6
circle,8,2,22,5,0.227272727272727,3801,119,0.0313075506445672,8
circle,8,3,23,6,0.260869565217391,3874,171,0.0441404233350542,13
circle,10,1,23,3,0.130434782608696,4071,43,0.0105625153524932,3
circle,10,2,22,5,0.227272727272727,3894,77,0.019774011299435,5
circle,10,3,23,4,0.173913043478261,3731,34,0.00911283838113106,8
circle,12,1,23,3,0.130434782608696,4071,56,0.0137558339474331,4
circle,12,2,23,3,0.130434782608696,3980,62,0.0155778894472362,4
circle,12,3,21,4,0.19047619047619,3717,84,0.0225988700564972,4
lemniscate,0.5,1,23,7,0.304347826086957,4071,71,0.0174404323262098,7
lemniscate,0.5,2,21,5,0.238095238095238,3717,72,0.0193704600484262,5
lemniscate,0.5,3,23,3,0.130434782608696,3971,68,0.017124150088139,3
lemniscate,1,1,23,5,0.217391304347826,4060,92,0.0226600985221675,6
lemniscate,1,2,22,3,0.136363636363636,3894,17,0.00436569080636877,3
