CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C001,0.1,5,0.3,1,1.25,3,477900,465795,0.974670433145009,33563,0.0702301736765014,0.0720553032986614,2790,1042,0.385925925925926,122,5,12076,764,21427,16.1178083008074,20,20
C002,0.1,5,0.3,1,1.25,5,477900,465795,0.974670433145009,32215,0.0674094998953756,0.0691613263345463,2538,1025,0.37962962962963,117,5,12076,764,20079,15.9553624088158,20,20
C003,0.1,5,0.3,1,1.5,3,477900,465795,0.974670433145009,27156,0.0568236032642812,0.0583003252503784,2456,969,0.358888888888889,120,5,12076,764,15020,15.2018706731477,20,20
C004,0.1,5,0.3,1,1.5,5,477900,465795,0.974670433145009,26617,0.0556957522494246,0.0571431638381691,2263,956,0.354074074074074,114,5,12076,764,14481,15.1047075177518,20,20
C005,0.1,5,0.3,1,2,3,477900,465795,0.974670433145009,20205,0.0422787193973635,0.0433774514539658,1883,746,0.276296296296296,113,5,12076,764,8069,13.5512001979708,16,20
C006,0.1,5,0.3,1,2,5,477900,465795,0.974670433145009,19952,0.0417493199414103,0.0428342940563982,1757,733,0.271481481481481,107,5,12076,764,7816,13.4694266238974,16,20
C007,0.1,5,0.5,1,1.25,3,477900,465928,0.974948734044779,34064,0.0712785101485666,0.0731100084133171,2877,1066,0.394814814814815,123,5,12197,764,21807,16.1257045561296,20,20
C008,0.1,5,0.5,1,1.25,5,477900,465928,0.974948734044779,32644,0.0683071772337309,0.0700623272265243,2607,1051,0.389259259259259,118,5,12197,764,20387,15.9571743658865,20,20
C009,0.1,5,0.5,1,1.5,3,477900,465928,0.974948734044779,27512,0.0575685289809584,0.0590477498669322,2501,979,0.362592592592593,120,5,12197,764,15255,15.2030386740331,20,20
C010,0.1,5,0.5,1,1.5,5,477900,465928,0.974948734044779,26961,0.0564155681104834,0.0578651637162823,2307,969,0.358888888888889,114,5,12197,764,14704,15.1050035236082,20,20
C011,0.1,5,0.5,1,2,3,477900,465928,0.974948734044779,20293,0.0424628583385646,0.0435539396644975,1904,744,0.275555555555556,114,5,12197,764,8036,13.4965751737052,16,20
C012,0.1,5,0.5,1,2,5,477900,465928,0.974948734044779,20045,0.0419439213224524,0.0430216685839872,1785,738,0.273333333333333,110,5,12197,764,7788,13.4161137440758,16,20
C013,0.1,5,0.75,1,1.25,3,477900,465928,0.974948734044779,34154,0.0714668340657041,0.0733031713054377,2919,1074,0.397777777777778,123,5,12197,764,21897,16.1359138021901,20,20
C014,0.1,5,0.75,1,1.25,5,477900,465928,0.974948734044779,32750,0.0685289809583595,0.0702898301883553,2638,1062,0.393333333333333,118,5,12197,764,20493,15.9702595419847,20,20
C015,0.1,5,0.75,1,1.5,3,477900,465928,0.974948734044779,27639,0.057834274952919,0.0593203241702581,2527,989,0.366296296296296,121,5,12197,764,15382,15.2250805021889,20,20
C016,0.1,5,0.75,1,1.5,5,477900,465928,0.974948734044779,27071,0.0566457417869847,0.0581012516955409,2321,981,0.363333333333333,116,5,12197,764,14814,15.124893797791,20,20
C017,0.1,5,0.75,1,2,3,477900,465928,0.974948734044779,20336,0.0425528353211969,0.0436462286018441,1937,753,0.278888888888889,114,5,12197,764,8079,13.5103265145555,16,20
C018,0.1,5,0.75,1,2,5,477900,465928,0.974948734044779,20088,0.0420338983050847,0.0431139575213338,1814,746,0.276296296296296,110,5,12197,764,7831,13.4302070888092,16,20
C019,0.1,5,1,1,1.25,3,477900,465928,0.974948734044779,34211,0.0715861058798912,0.0734255078037808,2945,1080,0.4,123,5,12197,764,21954,16.1423518751279,20,20
C020,0.1,5,1,1,1.25,5,477900,465928,0.974948734044779,32781,0.0685938480853735,0.0703563640734191,2651,1065,0.394444444444444,118,5,12197,764,20524,15.974070345627,20,20
C021,0.1,5,1,1,1.5,3,477900,465928,0.974948734044779,27708,0.0579786566227244,0.0594684157208839,2551,997,0.369259259259259,121,5,12197,764,15451,15.2369712718348,20,20
C022,0.1,5,1,1,1.5,5,477900,465928,0.974948734044779,27139,0.0567880309688219,0.0582471969918099,2342,989,0.366296296296296,116,5,12197,764,14882,15.1371089575887,20,20
C023,0.1,5,1,1,2,3,477900,465928,0.974948734044779,20369,0.0426218874241473,0.0437170549956216,1942,754,0.279259259259259,116,5,12197,764,8112,13.5208404929059,16,20
C024,0.1,5,1,1,2,5,477900,465928,0.974948734044779,20115,0.042090395480226,0.04317190638897,1819,746,0.276296296296296,111,5,12197,764,7858,13.439025602784,16,20
C025,0.1,10,0.3,1,1.25,3,477900,466482,0.976107972379159,32071,0.0671081816279556,0.0687507770932212,2623,976,0.361481481481481,121,5,12094,780,19916,15.8985064388388,20,20
C026,0.1,10,0.3,1,1.25,5,477900,466482,0.976107972379159,30755,0.0643544674618121,0.0659296607371774,2375,953,0.352962962962963,118,5,12094,780,18600,15.7230043895302,20,20
C027,0.1,10,0.3,1,1.5,3,477900,466482,0.976107972379159,24669,0.0516195856873823,0.052883069443194,2196,822,0.304444444444444,117,5,12094,780,12514,14.6678422311403,20,20
C028,0.1,10,0.3,1,1.5,5,477900,466482,0.976107972379159,24245,0.050732370788868,0.0519741383375993,2029,808,0.299259259259259,113,5,12094,780,12090,14.5745926995257,20,20
