Family,TargetReferenceSpeed,LoadIndex,EpisodeCount,PositiveEpisodeCount,PositiveEpisodeFraction,EligibleStepCount,PositiveStepCount,PositiveEligibleFraction,PositiveOnsetCount
circle,0.5,1,23,9,0.391304347826087,4066,160,0.0393507132316773,9
circle,0.5,2,23,6,0.260869565217391,4070,121,0.0297297297297297,11
circle,0.5,3,22,6,0.272727272727273,3875,118,0.0304516129032258,7
circle,1,1,22,6,0.272727272727273,3751,79,0.0210610503865636,6
circle,1,2,23,9,0.391304347826087,4071,163,0.0400393023827069,14
circle,1,3,23,6,0.260869565217391,3923,100,0.025490695895998,7
circle,2,1,21,6,0.285714285714286,3648,110,0.0301535087719298,8
circle,2,2,23,7,0.304347826086957,4047,186,0.0459599703484062,14
circle,2,3,23,17,0.739130434782609,3758,659,0.175359233634912,125
circle,4,1,23,5,0.217391304347826,3947,102,0.0258424119584495,5
circle,4,2,22,9,0.409090909090909,3709,174,0.0469129145322189,15
circle,4,3,23,9,0.391304347826087,4047,214,0.0528786755621448,18
circle,6,1,23,6,0.260869565217391,3806,150,0.0394114555964267,7
circle,6,2,22,5,0.227272727272727,3894,76,0.0195172059578839,7
circle,6,3,22,8,0.363636363636364,3833,149,0.0388729454735194,14
circle,8,1,22,6,0.272727272727273,3712,135,0.0363685344827586,8
circle,8,2,22,5,0.227272727272727,3801,136,0.0357800578795054,10
circle,8,3,23,6,0.260869565217391,3869,203,0.0524683380718532,16
circle,10,1,23,4,0.173913043478261,4071,57,0.0140014738393515,4
circle,10,2,22,7,0.318181818181818,3894,101,0.0259373394966615,8
circle,10,3,23,11,0.478260869565217,3716,77,0.0207212055974166,18
circle,12,1,23,5,0.217391304347826,4071,92,0.0225988700564972,6
circle,12,2,23,6,0.260869565217391,3980,81,0.0203517587939698,8
circle,12,3,21,5,0.238095238095238,3716,113,0.0304090419806243,5
lemniscate,0.5,1,23,8,0.347826086956522,4071,92,0.0225988700564972,9
lemniscate,0.5,2,21,5,0.238095238095238,3717,86,0.0231369383911757,6
lemniscate,0.5,3,23,5,0.217391304347826,3971,97,0.0244270964492571,5
lemniscate,1,1,23,6,0.260869565217391,4060,112,0.0275862068965517,8
lemniscate,1,2,22,4,0.181818181818182,3894,36,0.00924499229583975,5
lemniscate,1,3,23,8,0.347826086956522,4033,217,0.0538060996776593,14
lemniscate,2,1,23,8,0.347826086956522,4021,134,0.0333250435215121,12
lemniscate,2,2,23,11,0.478260869565217,4054,236,0.0582141095214603,19
lemniscate,2,3,22,19,0.863636363636364,3157,1423,0.450744377573646,255
lemniscate,4,1,23,7,0.304347826086957,3731,153,0.0410077727150898,9
lemniscate,4,2,23,6,0.260869565217391,4028,186,0.0461767626613704,10
lemniscate,4,3,21,8,0.380952380952381,3425,310,0.0905109489051095,35
lemniscate,6,1,22,3,0.136363636363636,3742,84,0.0224478888295029,3
lemniscate,6,2,23,5,0.217391304347826,4046,98,0.0242214532871972,6
lemniscate,6,3,23,6,0.260869565217391,4064,81,0.0199311023622047,10
lemniscate,8,1,22,3,0.136363636363636,3894,44,0.0112994350282486,3
lemniscate,8,2,22,8,0.363636363636364,3792,145,0.0382383966244726,9
lemniscate,8,3,23,7,0.304347826086957,4068,138,0.0339233038348083,14
lemniscate,10,1,22,6,0.272727272727273,3857,129,0.0334456831734509,10
lemniscate,10,2,23,7,0.304347826086957,4071,129,0.0316875460574797,11
lemniscate,10,3,22,9,0.409090909090909,3742,209,0.0558524853019776,16
lemniscate,12,1,22,6,0.272727272727273,3856,153,0.0396784232365145,8
lemniscate,12,2,23,6,0.260869565217391,4071,108,0.0265291083271923,7
lemniscate,12,3,23,7,0.304347826086957,4031,186,0.0461423964276854,10
smooth_waypoints,0.5,1,22,6,0.272727272727273,3797,128,0.0337108243350013,7
smooth_waypoints,0.5,2,22,7,0.318181818181818,3894,112,0.0287621982537237,7
smooth_waypoints,0.5,3,23,2,0.0869565217391304,4071,16,0.00393023827069516,3
smooth_waypoints,1,1,22,4,0.181818181818182,3786,83,0.0219228737453777,4
smooth_waypoints,1,2,23,8,0.347826086956522,4071,99,0.0243183492999263,9
smooth_waypoints,1,3,22,13,0.590909090909091,3782,173,0.0457429931253305,22
smooth_waypoints,2,1,22,8,0.363636363636364,3894,156,0.0400616332819723,14
smooth_waypoints,2,2,23,16,0.695652173913043,4070,148,0.0363636363636364,35
smooth_waypoints,2,3,23,23,1,3643,761,0.208893768871809,108
smooth_waypoints,4,1,23,5,0.217391304347826,3939,122,0.030972328002031,8
smooth_waypoints,4,2,21,9,0.428571428571429,3637,158,0.0434423975804234,13
smooth_waypoints,4,3,23,23,1,3950,729,0.184556962025316,82
smooth_waypoints,6,1,23,9,0.391304347826087,3922,192,0.0489546149923508,14
smooth_waypoints,6,2,22,8,0.363636363636364,3855,195,0.0505836575875486,17
smooth_waypoints,6,3,23,19,0.826086956521739,3943,250,0.063403499873193,49
smooth_waypoints,8,1,23,4,0.173913043478261,4033,80,0.0198363501115795,5
smooth_waypoints,8,2,23,9,0.391304347826087,4063,151,0.0371646566576421,12
smooth_waypoints,8,3,22,9,0.409090909090909,3732,306,0.0819935691318328,39
smooth_waypoints,10,1,23,7,0.304347826086957,4068,55,0.0135201573254671,7
smooth_waypoints,10,2,23,5,0.217391304347826,3940,123,0.0312182741116751,7
smooth_waypoints,10,3,21,11,0.523809523809524,3660,369,0.100819672131148,32
smooth_waypoints,12,1,22,5,0.227272727272727,3809,111,0.0291415069572066,6
smooth_waypoints,12,2,23,7,0.304347826086957,4071,120,0.0294767870302137,11
smooth_waypoints,12,3,23,12,0.521739130434783,3944,348,0.0882352941176471,30
spatial_helix,0.5,1,22,7,0.318181818181818,3723,141,0.0378726833199033,8
spatial_helix,0.5,2,22,7,0.318181818181818,3864,135,0.0349378881987578,9
spatial_helix,0.5,3,23,8,0.347826086956522,4071,142,0.0348808646524196,11
spatial_helix,1,1,23,3,0.130434782608696,4034,67,0.0166088249876054,3
spatial_helix,1,2,22,8,0.363636363636364,3875,201,0.0518709677419355,12
spatial_helix,1,3,23,8,0.347826086956522,4071,138,0.0338983050847458,11
spatial_helix,2,1,23,5,0.217391304347826,3980,124,0.0311557788944724,9
spatial_helix,2,2,23,5,0.217391304347826,4016,146,0.0363545816733068,8
spatial_helix,2,3,21,14,0.666666666666667,3692,429,0.116197183098592,76
spatial_helix,4,1,23,4,0.173913043478261,4071,57,0.0140014738393515,4
spatial_helix,4,2,23,7,0.304347826086957,4066,68,0.0167240531234629,7
spatial_helix,4,3,22,7,0.318181818181818,3883,149,0.0383723924800412,14
spatial_helix,6,1,22,5,0.227272727272727,3816,90,0.0235849056603774,7
spatial_helix,6,2,23,6,0.260869565217391,4071,78,0.0191599115696389,8
