EpisodeIndex,CellId,Family,DisturbanceType,DisturbanceLevel,TargetReferenceSpeed,TargetReferenceAcceleration,LoadIndex,PeakReferenceSpeed,PeakReferenceAcceleration,UncertaintyStratum,MassScale,MinimumInertiaScale,MinimumEffectiveness,PositionRmse,AttitudeRmseDeg,PositionMax,AttitudeMaxDeg,SaturationFraction,ConstraintViolationCount,ControlTimeMean,ControlTimeP95,Finite,PositionWindow5Max,AttitudeWindow5MaxDeg,PositionWindow10Max,AttitudeWindow10MaxDeg,PositionWindow20Max,AttitudeWindow20MaxDeg
189,F5_D1_U2,smooth_waypoints,zero,1,2,9,3,1.99941183449815,9.44021665306936,medium,1.08181074078446,1.03890684676695,0.861774791131696,0.0323134555791602,4.13029374784901,0.0951207622903825,12.2720393143117,0.0204081632653061,0,1.27397959183673e-05,1.4e-05,1,0.0887633281713733,10.6510826625959,0.0777354319372197,10.1992778831746,0.0730894585646956,8.96700722963836
299,F3_D1_U1,vertical_circle,zero,1,2,9,3,2,7.46863129112697,low,0.953846255016458,0.979283754165436,0.946348900101532,0.0310909060648211,1.90937956877045,0.0608162691969179,8.81423183300089,0.00510204081632653,7,1.23979591836735e-05,1.3e-05,1,0.0601784946558544,4.99338243068398,0.059576847063689,3.71746844534502,0.0565448510140389,2.81347817664027
362,F5_D4_U2,smooth_waypoints,gust,1,2,9,3,1.99829366714698,9.44404577605731,medium,0.910839250579528,0.963604875954489,0.880752767707772,0.0360016112555559,2.92065954761589,0.0674612764691146,12.9870265393519,0.0102040816326531,0,1.26173469387755e-05,1.325e-05,1,0.0645172593106926,8.69551321530526,0.0611652736494708,7.38352924933174,0.0582612231402548,6.51616902119862
428,F3_D7_U2,vertical_circle,sinusoidal,3,2,9,3,2,7.52603678649523,medium,1.08863215304709,0.954847614080158,1.10352181176545,0.0186640841112971,1.86961689839795,0.0484403731825015,6.25072736563578,0,8,1.27551020408163e-05,1.3e-05,1,0.0460463300307432,4.3827554915591,0.0407393146456229,4.06476359673774,0.0352885548548868,3.22113393937932
507,F3_D9_U1,vertical_circle,stochastic,3,2,9,3,2,7.34292758046223,low,1.00630579034786,0.97911983352292,0.955796308313671,0.0273705167842459,1.72377930820818,0.0680067156286686,5.68678666571919,0,6,1.23265306122449e-05,1.3e-05,1,0.0668337524238978,4.2936957170864,0.0636728910874421,3.45841363976808,0.0539273350051396,2.73877252870401
690,F3_D7_U1,vertical_circle,sinusoidal,3,2,9,3,2,7.29381141281119,low,0.940316156625361,1.00504895562772,0.984982110496495,0.0262662613690037,1.40930352549908,0.0674755767572727,5.20464830992093,0,2,1.24234693877551e-05,1.4e-05,1,0.0662505067773045,4.04506563320871,0.0630454292424903,3.26327285501135,0.0538445414443161,2.44583083695088
902,F3_D5_U1,vertical_circle,gust,3,2,9,3,2,7.26219252075691,low,0.942322603736113,0.976874966107485,0.960763297920777,0.067553791661869,2.36677288459471,0.178693090555502,8.14012620705374,0,2,1.23520408163265e-05,1.3e-05,1,0.175751753249905,6.67572255916836,0.167943156834476,6.48939887130959,0.147711660500523,5.5120538212097
1381,F3_D5_U2,vertical_circle,gust,3,2,9,3,2,7.25901651037468,medium,0.900529950205833,0.936927047303246,0.881087363980479,0.0265178029531024,2.43838051507631,0.0770796627422602,9.10823356276333,0,1,1.28673469387755e-05,1.4e-05,1,0.0753003002925175,5.55228035465023,0.0706470230184082,4.34491046665253,0.0605054636307079,3.78493920486199
1592,F5_D8_U1,smooth_waypoints,stochastic,1,2,9,3,1.99789420106138,9.5045858167328,low,0.994142818246837,0.969207884152141,0.947728067179775,0.0160328564527249,2.04180237195967,0.0571812653621809,8.12849508012808,0.00510204081632653,0,1.28112244897959e-05,1.4e-05,1,0.0531047153397656,6.1981748482779,0.0469604791398013,5.25951359495846,0.0361297155354018,4.69916113166091
1692,F5_D9_U2,smooth_waypoints,stochastic,3,2,9,3,1.9990784356222,8.96739584856721,medium,0.923364651310745,0.946069123859261,0.895484507688235,0.0368313567222931,2.24773067095841,0.0674764662532078,6.88604636478863,0.00510204081632653,0,1.28061224489796e-05,1.4e-05,1,0.0647871456394831,5.91133968620797,0.0598487861974436,4.88980504436642,0.0530380792100182,4.19235275797888
2432,F3_D4_U2,vertical_circle,gust,1,2,9,3,2,7.25512616602922,medium,0.935398549703475,1.04686664280105,0.877365229928885,0.0195091369353123,2.14186339233005,0.0682838601619851,7.42793455571118,0,2,1.27857142857143e-05,1.4e-05,1,0.0638953056100326,5.01068033677667,0.0504741149748529,3.89810595943958,0.0380166671129152,2.81471941445199
2471,F2_D1_U2,lemniscate,zero,1,2,9,3,1.99999988263728,9.90531634244935,medium,0.935740207498886,0.955577327915349,0.920406215233445,0.042389681039515,2.67108694796297,0.0544794437192493,4.36198593776023,0.102040816326531,0,1.32244897959184e-05,1.5e-05,1,0.0531244079836116,3.19064125045749,0.0517678133172833,3.01675550034804,0.0487545791801257,2.90131076256799
2534,F2_D4_U2,lemniscate,gust,1,2,9,3,1.99999990327298,9.99897556579211,medium,0.913961421514077,0.934121801572838,0.860831996952617,0.0456008571511126,1.56269954746704,0.0604813250622138,3.89445833297899,0.0408163265306122,0,1.26224489795918e-05,1.3e-05,1,0.0595592404085063,2.1906513628011,0.0578492611358996,2.15816900112959,0.053436520364124,1.83657711317272

