Warning: truncated output (original token count: 108069)
Total output lines: 1538

CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,HardEventStepCount,HardEventEligibleFraction,HardEventOnsetCount,HardEventEpisodeCount,HardEventEpisodeFraction,HardEventCellCount,HardEventFamilyCount,GrowthOnlyEpisodeCount,GrowthOnlyCellCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,PositionForecastPositiveCount,AttitudeForecastPositiveCount,VelocityForecastPositiveCount,BodyRateForecastPositiveCount,ConstraintForecastPositiveCount,SaturationForecastPositiveCount,NonfiniteForecastPositiveCount,FirstPositionEventCount,FirstAttitudeEventCount,FirstVelocityEventCount,FirstBodyRateEventCount,FirstConstraintEventCount,FirstSaturationEventCount,FirstNonfiniteEventCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C001,0.1,5,0.3,1,1.25,3,477900,465795,0.974670433145009,33563,0.0702301736765014,0.0720553032986614,2790,1042,0.385925925925926,122,5,12136,0.0260543801457723,997,301,0.111481481481481,96,5,988,114,12076,764,4361,3106,216,7351,461,321,0,3973,1644,114,6722,395,77,0,21427,16.1178083008074,20,20
C002,0.1,5,0.3,1,1.25,5,477900,465795,0.974670433145009,32215,0.0674094998953756,0.0691613263345463,2538,1025,0.37962962962963,117,5,12136,0.0260543801457723,997,301,0.111481481481481,96,5,957,106,12076,764,4361,3106,216,7351,461,321,0,3973,1644,114,6722,395,77,0,20079,15.9553624088158,20,20
C003,0.1,5,0.3,1,1.5,3,477900,465795,0.974670433145009,27156,0.0568236032642812,0.0583003252503784,2456,969,0.358888888888889,120,5,12136,0.0260543801457723,997,301,0.111481481481481,96,5,907,109,12076,764,4361,3106,216,7351,461,321,0,3973,1644,114,6722,395,77,0,15020,15.2018706731477,20,20
C004,0.1,5,0.3,1,1.5,5,477900,465795,0.974670433145009,26617,0.0556957522494246,0.0571431638381691,2263,956,0.354074074074074,114,5,12136,0.0260543801457723,997,301,0.111481481481481,96,5,879,99,12076,764,4361,3106,216,7351,461,321,0,3973,1644,114,6722,395,77,0,14481,15.1047075177518,20,20
C005,0.1,5,0.3,1,2,3,477900,465795,0.974670433145009,20205,0.0422787193973635,0.0433774514539658,1883,746,0.276296296296296,113,5,12136,0.0260543801457723,997,301,0.111481481481481,96,5,650,95,12076,764,4361,3106,216,7351,461,321,0,3973,1644,114,6722,395,77,0,8069,13.5512001979708,16,20
C006,0.1,5,0.3,1,2,5,477900,465795,0.974670433145009,19952,0.0417493199414103,0.0428342940563982,1757,733,0.271481481481481,107,5,12136,0.0260543801457723,997,301,0.111481481481481,96,5,626,86,12076,764,4361,3106,216,7351,461,321,0,3973,1644,114,6722,395,77,0,7816,13.4694266238974,16,20
C007,0.1,5,0.3,2,1.25,3,477900,466632,0.976421845574388,29723,0.0621950198786357,0.0636968746249721,2403,998,0.36962962962963,117,5,8026,0.0171998491316498,601,249,0.0922222222222222,86,5,955,112,7666,797,4398,3379,251,1668,461,354,0,4087,2675,116,950,395,296,0,21697,17.0846482521953,20,20
C008,0.1,5,0.3,2,1.25,5,477900,466632,0.976421845574388,28236,0.0590834902699309,0.0605102093298359,2129,980,0.362962962962963,115,5,8026,0.0171998491316498,601,249,0.0922222222222222,86,5,929,108,7666,797,4398,3379,251,1668,461,354,0,4087,2675,116,950,395,296,0,20210,16.9311163054257,20,20
C009,0.1,5,0.3,2,1.5,3,477900,466632,0.976421845574388,23105,0.0483469345051266,0.0495143924977284,2034,920,0.340740740740741,114,5,8026,0.0171998491316498,601,249,0.0922222222222222,86,5,864,105,7666,797,4398,3379,251,1668,461,354,0,4087,2675,116,950,395,296,0,15079,16.2495996537546,20,20
C010,0.1,5,0.3,2,1.5,5,477900,466632,0.976421845574388,22516,0.0471144590918602,0.0482521558744364,1837,910,0.337037037037037,112,5,8026,0.0171998491316498,601,249,0.0922222222222222,86,5,848,100,7666,797,4398,3379,251,1668,461,354,0,4087,2675,116,950,395,296,0,14490,16.151492272162,20,20
