CaseIndex,Family,LoadName,TargetSpeed,AccelerationTarget,GeometryScale,PeakSpeed,SpeedRelativeError,PeakAcceleration,AccelerationRelativeError,PeakHorizontalAcceleration,PeakTiltDeg,PeakThrustFraction,PeakMomentFraction,PeakInputFraction,PeakBodyRate,MinimumCosPitch,DynamicResidualP95,DynamicResidualMax,StateBoundViolation,PhysicalFeasible,RobustTrainCandidate
1,circle,mild,0.5,0.2,1.25,0.5,0,0.199996666683333,1.66665833332968e-05,0.199996666683333,1.16796663829424,0.250051951826983,0.000318439701230725,0.250051951826983,0.00815388935993062,0.999792270241801,3.33326707711168e-05,3.33326708321862e-05,-1.20134526513306,1,1
2,circle,moderate,0.5,0.462962962962963,0.54,0.5,0,0.462921618641449,8.93037344699588e-05,0.462921618641449,2.70179124130714,0.250278208810894,0.00169277873358129,0.250278208810894,0.0436659036953661,0.998889063911573,0.000178596473330897,0.000178596567274018,-1.17457472085302,1,1
3,circle,hard,0.5,0.833333333333333,0.3,0.5,0,0.833092227720382,0.000289326735541717,0.833092227720382,4.85420831236658,0.250899916649557,0.00540006065403023,0.250899916649557,0.141247893202323,0.996419726702541,0.000578879588746416,0.000578891975554931,-1.13698494946014,1,1
4,circle,mild,1,0.740740740740741,1.35,1,0,0.740698403747169,5.71549413217964e-05,0.740698403747169,4.31802030067196,0.250711644406553,0.00216971819299618,0.250711644406553,0.0559066702852655,0.997162649425554,0.000228612558348058,0.000228612737867096,-1.14635533238384,1,1
5,circle,moderate,1,1.85185185185185,0.54,1,0,1.8511903958748,0.000357186227607675,1.8511903958748,10.6866063838753,0.254412486502323,0.0130951086902716,0.254412486502323,0.348526294948594,0.982693962758727,0.00143631219341414,0.00143671059659116,-1.03508085172279,1,1
6,circle,hard,1,3.33333333333333,0.3,1,0,3.32947664801241,0.00115700559627703,3.32947664801241,18.7475171140404,0.264007147918094,0.0488718233821275,0.264007147918094,1.12040828926774,0.947290248052815,0.00575674318023509,0.00581730135770842,-0.894110828056244,1,1
7,circle,mild,2,2,2,2,0,1.99979167317699,0.000104163411506764,1.99979167317699,11.5223375802698,0.25514189926434,0.00773095657743765,0.25514189926434,0.203692882494099,0.979861206207664,0.000833719227460937,0.000833737914791286,-1.02034928868877,1,1
8,circle,moderate,2,5,0.8,2,0,4.99674542739042,0.000650914521916945,4.99674542739042,26.9927864967877,0.280563563777249,0.0818572322541061,0.280563563777249,1.26502418764132,0.891437397250952,0.00681143428362208,0.00697763843354777,-0.746868579111764,1,1
9,circle,hard,2,9,0.444444444444444,2,0,8.98102763493029,0.00210804056330163,8.98102763493029,42.474833753106,0.338949037469655,0.405442661310101,0.405442661310101,3.97768365675177,0.739749262474727,0.167169739432048,0.194776831460262,-0.464562099518398,1,1
10,circle,mild,4,2,8,4,0,1.99994791707357,2.60414632169415e-05,1.99994791707357,11.5232358140614,0.255142714710134,0.0038969113485731,0.255142714710134,0.101914350055979,0.979848221731417,0.000416668658624465,0.000416669592582064,-1.02029117657425,1,1
11,circle,moderate,4,5,3.2,4,0,4.99918623765217,0.000162752469565497,4.99918623765217,27.0041119053102,0.280591820461897,0.0437232646257554,0.280591820461897,0.635931449080099,0.891089158573913,0.00266037307766102,0.00266978344518365,-0.746054747984455,1,1
12,circle,hard,4,9,1.77777777777778,4,0,8.9952546570403,0.0005272603288557,8.9952546570403,42.5200093889107,0.339193992405129,0.20667478530706,0.339193992405129,2.04464387083425,0.737619036024583,0.0254930670084507,0.0285294547991049,-0.461137188353217,1,1
13,circle,mild,6,2,18,6,1.48029736616688e-16,1.99997685193223,1.15740338864079e-05,1.99997685193223,11.5234348569221,0.255142895416897,0.00260182873404608,0.255142895416897,0.0679515132469108,0.979845826092671,0.000277775965399285,0.000277776021009181,-1.02027920913792,1,1
14,circle,moderate,6,5,7.2,6,1.48029736616688e-16,4.99963831803427,7.23363931451004e-05,4.99963831803427,27.0062201311108,0.280597082285056,0.029503666941224,0.280597082285056,0.424390184284274,0.891009714120235,0.00174351384088683,0.00174482191189019,-0.745903873422179,1,1
15,circle,hard,6,9,4,6,1.48029736616688e-16,8.99789077331046,0.0002343585210595,8.99789077331046,42.5283768996195,0.339239425413242,0.137365182383638,0.339239425413242,1.37027351419323,0.737222326210453,0.00877536029249486,0.00999270036873868,-0.460503267968195,1,1
16,circle,mild,8,2,32,8,0,1.9999869791921,6.5104039510544e-06,1.9999869791921,11.5235431481285,0.255142993733572,0.00195239199346642,0.255142993733572,0.0509652319199517,0.979844998989684,0.000208332141674398,0.000208332201500606,-1.02027425575704,1,1
17,circle,moderate,8,5,12.8,8,0,4.99979655196268,4.06896074641949e-05,4.99979655196268,27.0069707926435,0.28059895596578,0.0222214395307416,0.28059895596578,0.318395411638047,0.890989530628866,0.00130369155258265,0.00130412734533149,-0.745850759389349,1,1
18,circle,hard,8,9,7.11111111111111,8,0,8.99881352348955,0.000131830723383865,8.99881352348955,42.5313102010686,0.339255356931688,0.105080238508701,0.339255356931688,1.02960814707641,0.737082000241251,0.00511552881427721,0.00548934417057,-0.460281231676431,1,1
19,circle,mild,10,2,50,10,1.77635683940025e-16,1.99999166667708,4.16666145819367e-06,1.99999166667708,11.5236356493706,0.255143077715453,0.00156229103007374,0.255143077715453,0.0407735994223422,0.97984437367522,0.000166665983771717,0.000166665996255927,-1.02027127303818,1,1
20,circle,moderate,10,5,20,10,1.77635683940025e-16,4.99986979268392,2.60414632169415e-05,4.99986979268392,27.0073322581637,0.280599858224048,0.0178321359597768,0.280599858224048,0.254766432522926,0.890973484274633,0.00104222735188893,0.00104232702696249,-0.745825968387994,1,1
21,circle,hard,10,9,11.1111111111111,10,1.77635683940025e-16,8.99924064422145,8.43728642835452e-05,8.99924064422145,42.5326731946206,0.33926276051381,0.0848363098867293,0.33926276051381,0.824395029634777,0.737015882085312,0.00363368113300873,0.00382725847460747,-0.460178597264022,1,1
22,circle,mild,12,2,72,12,1.48029736616688e-16,1.99999421296799,2.89351600679666e-06,1.99999421296799,11.523730857592,0.255143164155753,0.00130207963526797,0.255143164155753,0.0339787645338151,0.979843550433889,0.000138888468801577,0.000138888472210843,-1.02026883334861,1,1
23,circle,moderate,12,5,28.8,12,1.48029736616688e-16,4.99990957803687,1.8084392626605e-05,4.99990957803687,27.0075434794678,0.280600385463845,0.0148900558280263,0.280600385463845,0.212326322159093,0.890962297047021,0.000868288425697378,0.0008683155262674,-0.745812931192494,1,1
24,circle,hard,12,9,16,12,1.48029736616688e-16,8.99947266551964,5.85927200403723e-05,8.99947266551964,42.5334192282882,0.339266813077997,0.0710488200377778,0.339266813077997,0.687318148567732,0.736979007696115,0.00294032959617201,0.00300087513251511,-0.460122659161134,1,1
25,lemniscate,mild,0.5,0.2,1.25,0.5,1.11022302462516e-16,0.209782478226212,0.0489123911310589,0.209782478226212,1.2257514002122,0.25005722059524,0.00048668037486414,0.25005722059524,0.0133841582788989,0.999897320670535,5.42277768993669e-05,5.4724601911414e-05,-1.20033676504052,1,1
26,lemniscate,moderate,0.5,0.462962962962963,0.54,0.5,0,0.485288676962029,0.0482235422379836,0.485288676962029,2.83247561706143,0.250305801467259,0.00256849692555014,0.250305801467259,0.0716162185064625,0.999450563960469,0.000287530765444942,0.000293184096993003,-1.17229063099393,1,1
27,lemniscate,hard,0.5,0.833333333333333,0.3,0.5,1.11022302462516e-16,0.871770979286495,0.0461251751437941,0.871770979286495,5.07755164782906,0.250984910584273,0.00808596877607097,0.250984910584273,0.231080612036702,0.998225907397418,0.000939297200486558,0.00094936533966694,-1.13308861600667,1,1
28,lemniscate,mild,1,0.740740740740741,1.35,1,0,0.77666457327696,0.0484971739238961,0.77666457327696,4.52751068515925,0.250782555296792,0.00330240407077661,0.250782555296792,0.0917236398881534,0.998594633649459,0.000364302332716272,0.000375298798098119,-1.14269498247613,1,1
29,lemniscate,moderate,1,1.85185185185185,0.54,1,0,1.93643920770596,0.0456771721612178,1.93643920770596,11.1656931624124,0.254823482173337,0.0197201237315703,0.254823482173337,0.569568537606999,0.991327378357995,0.00230188147786459,0.00234603331919605,-1.02662311809584,1,1
30,lemniscate,hard,1,3.33333333333333,0.3,1,1.11022302462516e-16,3.4603441046228,0.03810323138684,3.4603441046228,19.4283447623787,0.26509498023184,0.0653439906911844,0.26509498023184,1.80888757488299,0.972815380430904,0.00825243346870311,0.00835938057357368,-0.881466161066353,1,1
31,lemniscate,mild,2,2,2,2,1.11022302462516e-16,2.0954260963286,0.0477130481642996,2.0954260963286,12.0597186252896,0.255641923720884,0.0119462136229051,0.255641923720884,0.333986978718806,0.989894108764879,0.00133715895483752,0.00136799498841017,-1.01095223813477,1,1
32,lemniscate,moderate,2,5,0.8,2,1.11022302462516e-16,5.21413202831013,0.0428264056620252,5.21413202831013,27.9889313511264,0.283113437123553,0.0839888766322172,0.283113437123553,2.05369847286978,0.941591901546886,0.00965927848420184,0.00997363912633608,-0.730039920805516,1,1
33,lemniscate,hard,2,9,0.444444444444444,2,0,9.26254807642521,0.02917200849169,9.26254807642521,43.3573364436761,0.343838238733658,0.577325737382531,0.577325737382531,6.17482532758418,0.841854293542755,0.187156535664284,0.196725333109078,-0.455916184274528,1,1
34,lemniscate,mild,4,2,8,4,1.11022302462516e-16,2.0976519603155,0.0488259801577493,2.0976519603155,12.0749503833231,0.255656453178575,0.00606498371213681,0.255656453178575,0.167276943191434,0.989886565865126,0.000675045032635265,0.00068407717556343,-1.01069149016945,1,1
35,lemniscate,moderate,4,5,3.2,4,1.11022302462516e-16,5.23616783747263,0.0472335674945263,5.23616783747263,28.08681198856,0.283371127928877,0.0366750164589472,0.283371127928877,1.04119382051151,0.941444951798704,0.00424381787765611,0.00432564831210159,-0.728244524965856,1,1
36,lemniscate,hard,4,9,1.77777777777778,4,0,9.39640026618807,0.0440444740208971,9.39640026618807,43.7656668424157,0.346176553093883,0.175435167668892,0.346176553093883,3.30613745521666,0.840758743946093,0.0295617939375421,0.0333874356870071,-0.448774677969258,1,1
37,lemniscate,mild,6,2,18,6,1.48029736616688e-16,2.09787344939189,0.0489367246959436,2.09787344939189,12.0787706174438,0.255660100363996,0.00406042987889002,0.255660100363996,0.111397012758545,0.989885960839889,0.000430413978551069,0.000454626905419417,-1.01062179578229,1,1
38,lemniscate,moderate,6,5,7.2,6,0,5.24136594173977,0.0482731883479536,5.24136594173977,28.1213089646295,0.283462257372589,0.0249089163814966,0.283462257372589,0.695930035426454,0.941417629563009,0.0028117627172322,0.00285686526192962,-0.727634453557592,1,1
39,lemniscate,hard,6,9,4,6,1.48029736616688e-16,9.42017141271701,0.0466857125241119,9.42017141271701,43.8428224121373,0.346623947252566,0.0813867894121422,0.346623947252566,2.23464914813325,0.8405437755674,0.0115354210361846,0.0128751732203914,-0.447430722958148,1,1
